name,formatted_address,lat,lng,website,phone_national,phone_international,types,place_id,resource_name,google_maps_uri,included_type,source_keyword
"Thai Shopping, Sungai Kolok, Narathiwas",138 140 ถนน สฤษดิ์วงค์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0202808999999995,101.96494609999999,,,,shopping_mall|point_of_interest|establishment,ChIJSz3A2ycbtDERWhuTLP9sIv4,places/ChIJSz3A2ycbtDERWhuTLP9sIv4,https://maps.google.com/?cid=18312318878062156634&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,retail_local_mall
ร้านแครอท,"2 ถ. วรคามินทร์ ตำบล สุไหงโก-ลก Sungaikolok, นราธิวาส 96120 ประเทศไทย",6.021806499999999,101.964625,,073 611 171,+66 73 611 171,shopping_mall|point_of_interest|establishment,ChIJD-k1CwAbtDEROxGlzzizzL0,places/ChIJD-k1CwAbtDEROxGlzzizzL0,https://maps.google.com/?cid=13676503225000595771&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,retail_local_mall
TLJ,41 43 ถ.บุษยพันธ์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0210561,101.9639313,,081 896 6852,+66 81 896 6852,department_store|clothing_store|point_of_interest|store|establishment,ChIJS_-2GeIbtDERlPUIwvyUt3E,places/ChIJS_-2GeIbtDERlPUIwvyUt3E,https://maps.google.com/?cid=8194181860331943316&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,retail_local_mall
"Thai Central, Sungai Kolok, Narathiwas",55 ถนน วงศ์วิถี ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0207011999999995,101.96430219999999,,,,shopping_mall|point_of_interest|establishment,ChIJh2OzW-MbtDER2s-Sr_fNGwI,places/ChIJh2OzW-MbtDER2s-Sr_fNGwI,https://maps.google.com/?cid=151941476133294042&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,retail_local_mall
บายจัยเทเลคอมนราธิวาส,2W55+FHP ตำบล กาวะ อำเภอ สุไหงปาดี นราธิวาส 96140 ประเทศไทย,6.0087120999999994,101.9089594,,,,shopping_mall|point_of_interest|establishment,ChIJ0dmNlrcZtDERtztEproUDHQ,places/ChIJ0dmNlrcZtDERtztEproUDHQ,https://maps.google.com/?cid=8362081400006130615&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,retail_local_mall
